id	baseline_line	token	context	category	evidence
N001	21	3.4	…Above period 100 it recovers 3.4% of regions against capp…	RECOMPUTED_OR_REWORDED	pass3-human.json BWTandem 101-2000 truth_hits / 1784804 *100; source BED identified in JSON; decimal ROUND_HALF_UP to .01
N002	21	2.0	…regions against capped TRF's 2.0%. A blinded single-reade…	RECOMPUTED_OR_REWORDED	pass3-human.json TRF 101-2000 truth_hits / 1784804 *100; source BED identified in JSON; decimal ROUND_HALF_UP to .01
N003	21	99.7	…s. On Arabidopsis it recovers 99.7% of the conserved CEN180…	RECOMPUTED_OR_REWORDED	pass3-colcen.json BWTandem.recall; underlying BED identified in JSON; decimal ROUND_HALF_UP to .01
N004	21	99.2	…-window tantan re-run reaches 99.2% in 12. On maize CentC,…	RECOMPUTED_OR_REWORDED	pass3-colcen.json tantan (500bp re-run).recall; underlying BED identified in JSON; decimal ROUND_HALF_UP to .01
N005	21	22.9	…ite annotator AniAnn's covers 22.9 points more, at boundary…	RECOMPUTED_OR_REWORDED	D002
N006	32	94.3	…e: Naish et al. (2021) report 94.3–97.3% identity between A…	EXEMPT_QUOTED_LITERATURE	Naish et al. quoted precision retained; no extra digits inferred.
N007	32	97.3	…ish et al. (2021) report 94.3–97.3% identity between Arabid…	EXEMPT_QUOTED_LITERATURE	Naish et al. quoted precision retained; no extra digits inferred.
N008	38	6.6	…ts 2,000 bp attempt there ran 6.6 days without completing…	RECOMPUTED_OR_REWORDED	results/sacct_provenance.txt JobID=6076847 Elapsed=6-13:57:48 /86400; decimal ROUND_HALF_UP to .01
N009	38	3.3	…d re-runs of Sections 3.2 and 3.3 are the exception and ar…	EXEMPT_SECTION	Section heading/cross-reference, not a measurement.
N010	44	2.1	…2.1 BWTandem Algorithm Archi…	EXEMPT_SECTION	Section heading/cross-reference, not a measurement.
N011	66	1.2	…y 2, integer truncation of a ±1.2 shift), sampling stride…	EXEMPT_PARAMETER_OR_DEFINITION	Algorithm parameter, formula or design-size illustration, not measured outcome.
N012	66	16.5	…ch tolerance spans roughly 15–16.5% with each chromosome's…	EXEMPT_PARAMETER_OR_DEFINITION	Algorithm parameter, formula or design-size illustration, not measured outcome.
N013	70	17.8	…nomer separated by as much as 17.8 kb of unclaimed sequence…	EXEMPT_PARAMETER_OR_DEFINITION	Algorithm parameter, formula or design-size illustration, not measured outcome.
N014	70	17.8	…tif period, the condition the 17.8 kb monomer merge above i…	EXEMPT_PARAMETER_OR_DEFINITION	Algorithm parameter, formula or design-size illustration, not measured outcome.
N015	75	2.2	…2.2 Benchmarking Methodology…	EXEMPT_SECTION	Section heading/cross-reference, not a measurement.
N016	76	1.4	…published in 2026 — longdust 1.4 and AniAnn's 0.7.1 — wer…	EXEMPT_VERSION	longdust version, native notation preserved.
N017	78	6.6	…ated without completing after 6.6 days, 4.7 times its 33.7…	RECOMPUTED_OR_REWORDED	results/sacct_provenance.txt JobID=6076847 Elapsed=6-13:57:48 /86400; decimal ROUND_HALF_UP to .01
N018	78	4.7	…ut completing after 6.6 days, 4.7 times its 33.73-hour 500…	RECOMPUTED_OR_REWORDED	D027
N019	78	124.8	…tted calls only for the first 124.8 Mb of chromosome 1, abou…	RECOMPUTED_OR_REWORDED	results/range_cost_attempts/README.md last COMPLETE emitted End=124785432; not processing progress; decimal ROUND_HALF_UP to .01
N020	78	1.1	…gion recall shifts by at most 1.1 percentage points and re…	RECOMPUTED_OR_REWORDED	D025
N021	78	1.7	…d region precision by at most 1.7 (Tables 1a, 1b), but bas…	RECOMPUTED_OR_REWORDED	D026
N022	78	33.4	…mparable between tools, since 33.4% of BWTandem's called ba…	RECOMPUTED_OR_REWORDED	remaining-sources.json L78: missing exact merged-bp operands; do not fabricate current shares or derive them from rounded bpRecall/bpPrec
N023	78	65.7	…f BWTandem's called bases and 65.7% of TRF's lie above peri…	RECOMPUTED_OR_REWORDED	remaining-sources.json L78: missing exact merged-bp operands; do not fabricate current shares or derive them from rounded bpRecall/bpPrec
N024	84	3.1	…uman GRCh38 reference genome (3.1 Gb) served as the primar…	RECOMPUTED_OR_REWORDED	quarantine.md §6.5 exact primary FASTA length 3088269832 / 1e9; 3.09 is rounded
N025	86	2.6	…tratum), since such calls are 2.6% of the total, and the b…	RECOMPUTED_OR_REWORDED	pass3-human.json BWTandem counts 102926/4014108*100; decimal ROUND_HALF_UP to .01
